35, NewHeight, 0.987771208
35, NewRound, 0.002021208
35, Propose, 0.006090166
35, Prevote, 0.003041167
35, Precommit, 0.00120775
36, Commit, 0.010310291
36, NewHeight, 0.989555541
36, NewRound, 0.002145584
36, Propose, 0.006026708
36, Prevote, 0.00298375
36, Precommit, 0.002495125
37, Commit, 0.009953125
37, NewHeight, 0.989984792
37, NewRound, 0.004323667
37, Propose, 0.007049792
37, Prevote, 0.002831125
37, Precommit, 0.002514833
38, Commit, 0.009947209
0, NewRound, 0.005752708
0, Propose, 0.006522333
0, Prevote, 0.001496042
0, Precommit, 0.003067166
39, Commit, 0.008842625
39, NewHeight, 0.991267834
39, NewRound, 0.002290125
39, Propose, 0.006519083
39, Prevote, 0.00667825
39, Precommit, 0.002738459
40, Commit, 0.011938792
40, NewHeight, 0.987904709
40, NewRound, 0.004034583
40, Propose, 0.004503334
40, Prevote, 0.003552958
40, Precommit, 0.002423
41, Commit, 0.012235834
41, NewHeight, 0.987674542
41, NewRound, 0.00309
41, Propose, 0.006804709
41, Prevote, 0.002945375
41, Precommit, 0.002596792
42, Commit, 0.009975458
42, NewHeight, 0.989989584
42, NewRound, 0.004489209
42, Propose, 0.005013166
42, Prevote, 0.006559875
42, Precommit, 0.002673417
43, Commit, 0.011923208
43, NewHeight, 0.987991375
43, NewRound, 0.002175209
43, Propose, 0.005193416
43, Prevote, 0.003441791
43, Precommit, 0.002565625
44, Commit, 0.007941125
44, NewHeight, 0.991870125
44, NewRound, 0.004234916
44, Propose, 0.007320542
44, Prevote, 0.003379834
44, Precommit, 0.0025325
45, Commit, 0.007919333
45, NewHeight, 0.992076917
45, NewRound, 0.002043125
45, Propose, 0.0034025
45, Prevote, 0.001909083
45, Precommit, 0.003026666
46, Commit, 0.016004041
46, NewHeight, 0.983817125
46, NewRound, 0.003351791
46, Propose, 0.00692125
46, Prevote, 0.003980209
46, Precommit, 0.002491542
47, Commit, 0.008113708
47, NewHeight, 0.991701333
47, NewRound, 0.002921334
47, Propose, 0.005067792
47, Prevote, 0.003163625
47, Precommit, 0.001211916
48, Commit, 0.012227458
48, NewHeight, 0.987716875
48, NewRound, 0.00449325
48, Propose, 0.0070645
48, Prevote, 0.003403958
48, Precommit, 0.0026355
49, Commit, 0.00710125
49, NewHeight, 0.992787125
49, NewRound, 0.00447275
49, Propose, 0.004873
49, Prevote, 0.004003584
49, Precommit, 0.002372792
50, Commit, 0.011937167
50, NewHeight, 0.987988083
50, NewRound, 0.003197125
50, Propose, 0.0043905
50, Prevote, 0.003604
50, Precommit, 0.00251725
51, Commit, 0.007928541
51, NewHeight, 0.991983958
51, NewRound, 0.004375542
51, Propose, 0.007946792
51, Prevote, 0.003700709
51, Precommit, 0.001557917
52, Commit, 0.005881792
52, NewHeight, 0.993880167
52, NewRound, 0.00420425
52, Propose, 0.005166375
52, Prevote, 0.002269625
52, Precommit, 0.00305725
53, Commit, 0.011911958
53, NewHeight, 0.988063542
53, NewRound, 0.002586417
53, Propose, 0.003124708
53, Prevote, 0.00159975
53, Precommit, 0.001514459
54, Commit, 0.009804792
54, NewHeight, 0.990087458
54, NewRound, 0.003112875
54, Propose, 0.006100375
54, Prevote, 0.002913625
54, Precommit, 0.002575333
55, Commit, 0.007936875
55, NewHeight, 0.991942041
55, NewRound, 0.00317025
55, Propose, 0.004077583
55, Prevote, 0.00382125
55, Precommit, 0.002570834
56, Commit, 0.011928333
56, NewHeight, 0.987929166
56, NewRound, 0.003085583
56, Propose, 0.004196
56, Prevote, 0.002866375
56, Precommit, 0.001179292
57, Commit, 0.007269041
57, NewHeight, 0.992524167
57, NewRound, 0.003188125
57, Propose, 0.005966583
57, Prevote, 0.001776666
57, Precommit, 0.00276925
58, Commit, 0.011916291
58, NewHeight, 0.98788525
58, NewRound, 0.005237
58, Propose, 0.0068855
58, Prevote, 0.004115083
58, Precommit, 0.001698917
59, Commit, 0.009672833
59, NewHeight, 0.990151792
59, NewRound, 0.004283667
59, Propose, 0.006033416
59, Prevote, 0.0036205
59, Precommit, 0.002604542
